date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:22	2489/2489	UR-MCZ	200	added ('OK')	application/json	date:Fri,%2019%20Apr%202019%2016:49:21%20GMT	https://chezberns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchezberns.com%2Fgallery%2Freceptions%2F	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-json/oembed/1.0/embedd3cd.json	(from https://chezberns.com/gallery/receptions/)
18:49:22	2640/2640	UR-MCZ	200	added ('OK')	text/xml	date:Fri,%2019%20Apr%202019%2016:49:22%20GMT	https://chezberns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchezberns.com%2Fgallery%2Fevenements-pro%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-json/oembed/1.0/embed8bb0	(from https://chezberns.com/gallery/evenements-pro/)
18:49:22	2516/2516	UR-MCZ	200	added ('OK')	text/xml	date:Fri,%2019%20Apr%202019%2016:49:22%20GMT	https://chezberns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchezberns.com%2Fteam%2Fxavier%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-json/oembed/1.0/embed5ad2	(from https://chezberns.com/team/xavier/)
18:49:22	2610/2610	UR-MCZ	200	added ('OK')	text/xml	date:Fri,%2019%20Apr%202019%2016:49:22%20GMT	https://chezberns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchezberns.com%2Fgallery%2Freceptions%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-json/oembed/1.0/embed2924	(from https://chezberns.com/gallery/receptions/)
18:49:23	938/938	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Jan%202019%2013:53:21%20GMT	https://chezberns.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from https://chezberns.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
18:49:24	935/935	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Jan%202019%2013:53:21%20GMT	https://chezberns.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from https://chezberns.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
18:49:25	2541/2541	UR-MCZ	200	added ('OK')	text/xml	date:Fri,%2019%20Apr%202019%2016:49:24%20GMT	https://chezberns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchezberns.com%2Fteam%2Falexandre%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-json/oembed/1.0/embedd383	(from https://chezberns.com/team/alexandre/)
18:49:25	2431/2431	UR-MCZ	200	added ('OK')	application/json	date:Fri,%2019%20Apr%202019%2016:49:24%20GMT	https://chezberns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchezberns.com%2Fteam%2Fmarie-alexandrine%2F	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-json/oembed/1.0/embedefc5.json	(from https://chezberns.com/team/marie-alexandrine/)
18:49:25	2420/2420	UR-MCZ	200	added ('OK')	application/json	date:Fri,%2019%20Apr%202019%2016:49:24%20GMT	https://chezberns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchezberns.com%2Fteam%2Falexandre%2F	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-json/oembed/1.0/embed4f11.json	(from https://chezberns.com/team/alexandre/)
18:49:25	184/184	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Jan%202019%2013:53:21%20GMT	https://chezberns.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	/home/turinglinux/Bureau/MatBot/WebHttp/Berns/chezberns.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from https://chezberns.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
