date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:54	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:37:54%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/10/Bishop_09-1024x548.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/10/Bishop_09-1024x548.jpg	(from https://www.photoaccess.org.au/see/exhibitions/the-in-between/)
20:37:54	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=3767	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle550e.js	(from https://www.photoaccess.org.au/see/exhibitions/the-in-between/)
20:37:54	2405/2405	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fthe-in-between%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embed1c64	(from https://www.photoaccess.org.au/see/exhibitions/the-in-between/)
20:37:54	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=218	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundleb963.js	(from https://www.photoaccess.org.au/see/exhibitions/breakitup/)
20:37:54	4937/4937	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c511e08-1349%22	https://www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	(from https://www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.5.4)
20:37:55	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:37:55%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/10/Karena-Keys_Break-It-Up_-2017_digital-image_dimensions-variable-1024x715.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/10/Karena-Keys_Break-It-Up_-2017_digital-image_dimensions-variable-1024x715.jpg	(from https://www.photoaccess.org.au/see/exhibitions/breakitup/)
20:37:55	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:37:55%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/1-841x1024.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/1-841x1024.jpg	(from https://www.photoaccess.org.au/see/exhibitions/anu-school-of-art-eass-residency-exhibition-award/)
20:37:56	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:37:55%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/KIF4506-1024x577.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/KIF4506-1024x577.jpg	(from https://www.photoaccess.org.au/see/exhibitions/anu-school-of-art-eass-residency-exhibition-award-2/)
20:37:57	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:37:56%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/KIF0291-1024x577.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/KIF0291-1024x577.jpg	(from https://www.photoaccess.org.au/see/exhibitions/anu-school-of-art-eass-residency-exhibition-award-2/)
20:37:59	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:37:58%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/Footprints_WEB-1024x683.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/Footprints_WEB-1024x683.jpg	(from https://www.photoaccess.org.au/see/exhibitions/cit-graduate-residency-exhibition-award-exhibition/)
